Link,Description
https://www.zalando.co.uk/boss-mysoft-shirt-lightpastel-green-bb122d1dp-e11.html,MYSOFT2 - Shirt - light/pastel green
https://www.zalando.co.uk/polo-ralph-lauren-long-sleeve-shirt-po222p03w-e12.html,LONG SLEEVE - Shirt - corn yellow
https://www.zalando.co.uk/pegador-skyler-denim-shirt-unisex-shirt-black-ink-pep2100az-q11.html,SKYLER SHIRT UNISEX - Button-down blouse - black ink
https://www.zalando.co.uk/hollister-co-solids-stores-shirt-navy-h0422d03v-k11.html,SOLIDS STORES - Shirt - navy
https://www.zalando.co.uk/boss-kent-shirt-open-green-bb122d1a9-m11.html,KENT - Shirt - open green
https://www.zalando.co.uk/lacoste-shirt-lighthouse-redreseda-la222d0ag-j11.html,Shirt - lighthouse red/reseda
https://www.zalando.co.uk/emporio-armani-exclusive-contrast-logo-shirt-ea822d01g-k11.html,EXCLUSIVE CONTRAST LOGO - Shirt - navy
https://www.zalando.co.uk/polo-ralph-lauren-big-and-tall-featherweight-shirt-p6222d00e-a11.html,LONG SLEEVE KNIT - Shirt - white
https://www.zalando.co.uk/les-deux-desert-reg-shirt-shirt-dark-sand-lep22d02d-b11.html,DESERT REG SHIRT - Shirt - dark sand
https://www.zalando.co.uk/karl-lagerfeld-shirt-modern-fit-formal-shirt-white-k4822d03b-a11.html,SHIRT MODERN FIT - Formal shirt - white
https://www.zalando.co.uk/hugo-ero-formal-shirt-open-white-hu722d0lt-a11.html,Shirt - open white
https://www.zalando.co.uk/only-and-sons-onssane-solid-shirt-formal-shirt-silver-lining-os322d0ik-d11.html,ONSSANE SOLID SHIRT - Formal shirt - silver lining
https://www.zalando.co.uk/ck-calvin-klein-bari-slim-fit-shirt-ck122d00j-a11.html,BARI SLIM FIT - Formal shirt - white
https://www.zalando.co.uk/mango-shirt-khaki-m9122d2fq-n11.html,BONHEUR - Shirt - khaki
https://www.zalando.co.uk/selected-homme-slhregnew-resort-shirt-kelp-se622d1cw-m11.html,SLHREGNEW RESORT - Shirt - kelp
https://www.zalando.co.uk/polo-ralph-lauren-shirt-newport-navy-po222d0t6-k12.html,SLIM FIT STRETCH POPLIN SHIRT - Shirt - newport navy
https://www.zalando.co.uk/scotch-and-soda-essential-solid-slim-fit-formal-shirt-white-sc322d0o9-a11.html,ESSENTIAL SOLID  - Shirt - white
https://www.zalando.co.uk/lee-chetopa-shirt-shirt-fort-green-le422d08l-m11.html,CHETOPA SHIRT - Shirt - fort green
https://www.zalando.co.uk/gant-oxford-shirt-clear-yellow-ga322d05l-e11.html,OXFORD - Shirt - clear yellow
https://www.zalando.co.uk/boss-race-shirt-white-bb122d19u-a11.html,RACE - Shirt - white
https://www.zalando.co.uk/polo-ralph-lauren-big-and-tall-shirt-summer-emeraldwhite-p6222d02c-m11.html,LONG SLEEVE SHIRT - Shirt - summer emerald/white
https://www.zalando.co.uk/selected-homme-shirt-bright-white-se622d0pm-a12.html,SLIMNEW MARK SHIRT - Formal shirt - bright white
https://www.zalando.co.uk/indicode-jeans-marocco-shirt-black-ij022d03e-q11.html,MAROCCO - Shirt - black
